Target,TargetSignature,TargetCellLine,TargetConcentration,TargetTime,FDA_Phase,PNGF_1M,WT_1M,PNGF_3M,WT_3M
PLX-4720,LINCSCP_130647,MCF10A,0.12uM,24h,NA,NA,NA,0.27417237,NA
BRL50481,LINCSCP_33256,MCF7,10uM,6h,NA,NA,NA,0.27367757,NA
MLS003448149,LINCSCP_13518,H1299,10uM,6h,NA,NA,NA,0.27346252,NA
HSCI1_000314,LINCSCP_43769,OV7,80uM,6h,NA,NA,NA,0.27320931,NA
"(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one",LINCSCP_54047,SW480,20uM,6h,NA,NA,NA,0.27299419,NA
Naloxone,LINCSCP_243793,MCF7,10uM,6h,4,NA,NA,0.27285135,NA
"4H-1-Benzopyran-4-one, 5,6,7-trimethoxy-3-(2-methoxyphenyl)-",LINCSCP_7095,A549,10uM,24h,NA,NA,NA,0.27245501,NA
Diazepam,LINCSCP_134955,MCF7,10uM,24h,4,NA,NA,0.27236784000000003,NA
ZD-7288,LINCSCP_204613,ASC,10uM,24h,NA,NA,NA,0.27221132,NA
Devazepide,LINCSCP_40982,NEU,10uM,24h,NA,NA,NA,0.27161867,NA
Tivozanib,LINCSCP_116893,HT29,10uM,24h,3,NA,NA,0.27157978,NA
BRD-K37249103,LINCSCP_185090,A375,5uM,24h,NA,NA,NA,0.27147507,NA
Balicatib,LINCSCP_154143,PC3,0.37uM,24h,2,NA,NA,0.27098127,NA
BRD-K34466966,LINCSCP_34977,MCF7,5uM,24h,NA,NA,NA,0.27087426,NA
Loperamide,LINCSCP_51175,RMUGS,10uM,6h,4,NA,NA,0.27005632,NA
F3098-7034,LINCSCP_281280,PHH,10uM,24h,NA,NA,NA,0.26953722,NA
Tetrabromobenzotriazole,LINCSCP_33281,MCF7,10uM,6h,NA,NA,NA,0.26926991,NA
SB590885,LINCSCP_24231,HS578T,0.1uM,24h,NA,NA,NA,0.26786608,NA
Triciribine,LINCSCP_7736,A549,10uM,6h,NA,NA,NA,0.2667729,NA
SCHEMBL618594,LINCSCP_84393,ASC,0.37uM,24h,NA,NA,NA,0.26561982,NA
Tretinoin,LINCSCP_64591,VCAP,1uM,6h,4,NA,NA,0.26560485,NA
JNJ-38877605,LINCSCP_24675,HS578T,0.5uM,24h,1,NA,NA,0.26376886,NA
Vorinostat,LINCSCP_117349,HT29,1.11uM,24h,4,NA,NA,0.263711,NA
Isoolomoucine,LINCSCP_15093,HA1E,10uM,24h,NA,NA,NA,0.26349593,NA
PHA-793887,LINCSCP_163937,SKBR3,0.37uM,3h,1,NA,NA,0.26240689,0.31778929
GSK-1904529A,LINCSCP_222615,HS578T,1uM,24h,NA,NA,NA,0.26218817,NA
Thioridazine,LINCSCP_19477,HCC515,10uM,6h,4,NA,NA,0.26216291,NA
Emend,LINCSCP_2319,A375,10uM,6h,NA,NA,NA,0.26211859,NA
ACON1_001667,LINCSCP_20191,HCC515,10uM,6h,NA,NA,NA,0.26183578,NA
Vandetanib,LINCSCP_112241,HEPG2,10uM,24h,4,NA,NA,0.26108535,NA
ZINC77024257,LINCSCP_251826,MCF7,10uM,24h,NA,NA,NA,0.26105739,NA
Practolol,LINCSCP_56488,VCAP,10uM,6h,4,NA,NA,0.26096386,NA
BRD-K35510956,LINCSCP_63593,VCAP,5uM,6h,NA,NA,NA,0.26078785,NA
17952-87-3,LINCSCP_31609,MCF7,10uM,24h,NA,NA,NA,0.25981905,NA
BRD-K77970970,LINCSCP_61913,VCAP,5uM,6h,NA,NA,NA,0.25980704,NA
Colforsin,LINCSCP_72645,A375,3.33uM,24h,NA,NA,NA,0.25966086,NA
PDK1 Inhibitor,LINCSCP_24255,HS578T,10uM,24h,NA,NA,NA,0.2595239,NA
CHEMBL2133358,LINCSCP_268334,PC3,10uM,6h,NA,NA,NA,0.25939151,NA
4-((4-Chlorophenyl)amino)-1-methyl-3-nitroquinolin-2(1H)-one,LINCSCP_190639,A549,10uM,24h,NA,NA,NA,0.25935485,NA
BRD-K80457386,LINCSCP_3282,A375,5uM,24h,NA,NA,NA,0.25925596,NA
AC1O9I2Y,LINCSCP_216950,HCC515,10uM,6h,NA,NA,NA,0.25920601,NA
PF-562271,LINCSCP_131600,MCF10A,1.11uM,3h,1,NA,NA,0.25917399,NA
Daminozide,LINCSCP_146974,NEU,0.04uM,24h,NA,NA,NA,0.25915781,NA
SCHEMBL14823984,LINCSCP_45512,PC3,10uM,24h,NA,NA,NA,0.25898663,NA
MLS000106835,LINCSCP_216906,HCC515,10uM,6h,NA,NA,NA,0.25894833,NA
SCHEMBL6874948,LINCSCP_24339,HS578T,0.1uM,24h,NA,NA,NA,0.25881541,NA
PF750,LINCSCP_51227,RMUGS,80uM,6h,NA,NA,NA,0.25871267,NA
BG-1025,LINCSCP_13353,FIBRNPC,10uM,6h,NA,NA,NA,0.25870615,NA
D-64131,LINCSCP_50441,PHH,3uM,6h,NA,NA,NA,0.25823112,NA
Marimastat,LINCSCP_72201,A375,0.04uM,24h,3,NA,NA,0.25756624,NA
Amthamine,LINCSCP_50213,PHH,10uM,24h,NA,NA,NA,0.25746409,NA
Trifluoperazine,LINCSCP_19426,HCC515,10uM,24h,4,NA,NA,0.25738061,NA
Desloratadine,LINCSCP_58285,VCAP,10uM,6h,4,NA,NA,0.25732994,NA
Deoxy Cholate,LINCSCP_13174,FIBRNPC,10uM,24h,NA,NA,NA,0.25725793,NA
N-{3-[2-(4-Methyl-pyridin-2-ylamino)-thiazol-4-yl]-phenyl}-acetamide,LINCSCP_34754,MCF7,20uM,6h,NA,NA,NA,0.25711328,NA
NBI 27914,LINCSCP_33227,MCF7,10uM,6h,NA,NA,NA,0.25694281,NA
BRD-K76915833,LINCSCP_35048,MCF7,5uM,24h,NA,NA,NA,0.25685134,NA
BRD-A35207501,LINCSCP_222213,HL60,3uM,6h,NA,NA,NA,0.25682807,NA
BML-286,LINCSCP_41511,NEU,10uM,6h,NA,NA,NA,0.25664816,NA
Luzindole,LINCSCP_282137,PHH,10uM,24h,NA,NA,NA,0.25661158,NA
CHEMDIV3_004193,LINCSCP_58603,VCAP,10uM,24h,NA,NA,NA,0.25648112,NA
Palovarotene,LINCSCP_173673,YAPC,0.12uM,24h,2,NA,NA,0.25643362,NA
Tiagabine,LINCSCP_16204,HA1E,10uM,6h,4,NA,NA,0.25630824,NA
GR 159897,LINCSCP_18277,HCC515,10uM,24h,NA,NA,NA,0.25603882,NA
Skiii,LINCSCP_17672,HCC15,40uM,6h,NA,NA,NA,0.25593356,NA
Allitinib,LINCSCP_83129,ASC.C,3.33uM,24h,NA,NA,NA,0.25542463,NA
Etomoxir,LINCSCP_29335,LOVO,90uM,6h,NA,NA,NA,0.25534175,NA
PD-173074,LINCSCP_24641,HS578T,0.5uM,6h,NA,NA,NA,0.25534047,NA
Capsaicin,LINCSCP_4770,A549,100uM,6h,4,NA,NA,0.25521924,NA
ML100,LINCSCP_10661,AGS,10uM,6h,NA,NA,NA,0.25520005,0.22948467
SCHEMBL17498001,LINCSCP_187028,A375,0.5uM,6h,NA,NA,NA,0.25509385,NA
GSK 525762A,LINCSCP_70203,A375,10uM,24h,NA,NA,NA,0.25500387,NA
BRD-K41115759,LINCSCP_48394,PC3,5uM,24h,NA,NA,NA,0.25499802,NA
SCHEMBL16980381,LINCSCP_23496,HEPG2,3uM,24h,NA,NA,NA,0.25488694,NA
Lu AE58054 (Hydrochloride),LINCSCP_175232,YAPC,10uM,24h,3,NA,NA,0.25436933,NA
CHEMBL3185054,LINCSCP_20319,HCC515,10uM,6h,NA,NA,NA,0.25432316,NA
ST51005413,LINCSCP_287150,SNUC4,10uM,6h,NA,NA,NA,0.25410555,NA
Metolazone,LINCSCP_50153,PHH,10uM,24h,4,NA,NA,0.2540611,NA
XMD 8-92,LINCSCP_39428,MDAMB231,1uM,24h,NA,NA,NA,0.25404913,NA
SPECTRUM_000826,LINCSCP_240741,MCF7,10uM,6h,NA,NA,NA,0.25386053,NA
BRD-K13346599,LINCSCP_64364,VCAP,5uM,6h,NA,NA,NA,0.25351874,NA
SCHEMBL3958507,LINCSCP_130087,LNCAP,3.33uM,3h,NA,NA,NA,0.25350817,NA
TWS 119,LINCSCP_24836,HS578T,0.1uM,24h,NA,NA,NA,0.25319332,NA
Methixene,LINCSCP_71898,A375,3.33uM,24h,4,NA,NA,0.25308612,NA
CHEMBL3186688,LINCSCP_19745,HCC515,10uM,6h,NA,NA,NA,0.2530597,NA
Wortmannin,LINCSCP_66672,A549,1uM,24h,NA,NA,NA,0.25282336,NA
AC1N6AX4,LINCSCP_2661,A375,10uM,6h,NA,NA,NA,0.2527448,NA
GSK-3 Inhibitor II,LINCSCP_151747,PC3,1.11uM,24h,NA,NA,NA,0.25270088,NA
Ambroxol,LINCSCP_94005,HA1E,0.37uM,24h,3,NA,NA,0.25264173,NA
Lidoflazine,LINCSCP_140407,MCF7,1.11uM,24h,4,NA,NA,0.25195521,NA
"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",LINCSCP_36855,MCF7,10uM,6h,NA,NA,NA,0.2516552,NA
Pazopanib,LINCSCP_12339,BT20,0.1uM,6h,4,NA,NA,0.25157649,NA
SU-4312,LINCSCP_179746,A375,10uM,6h,NA,NA,NA,0.25079556,NA
MLS003129496,LINCSCP_60663,VCAP,5uM,6h,NA,NA,NA,0.25076077,NA
Quiflapon,LINCSCP_57124,VCAP,80uM,6h,NA,NA,NA,0.25062512,NA
BSPBIO_001473,LINCSCP_13927,HA1E,10uM,6h,NA,NA,NA,0.25030843,NA
BRD-K63628486,LINCSCP_28092,HT29,5uM,24h,NA,NA,NA,0.25013521,NA
VILAZODONE HYDROCHLORIDE,LINCSCP_123117,HT29,10uM,24h,4,NA,NA,0.250109,NA
Fludarabine,LINCSCP_243000,MCF7,10uM,24h,NA,NA,NA,0.25008175,NA
BRD-K98259048,LINCSCP_62425,VCAP,5uM,6h,NA,NA,NA,0.24971514,NA
Mibefradil,LINCSCP_64873,VCAP,0.5uM,24h,4,NA,NA,0.24956081,NA
BRD-K80313395,LINCSCP_64116,VCAP,5uM,6h,NA,NA,NA,0.24951339,NA
BRD-K22828860,LINCSCP_49848,PHH,10uM,24h,NA,NA,NA,0.24943474,NA
Tranylcypromine,LINCSCP_133911,MCF7,0.12uM,24h,NA,NA,NA,0.24932161,NA
Taselisib,LINCSCP_172776,YAPC,0.04uM,24h,3,NA,NA,0.24924124,NA
Fedratinib,LINCSCP_85333,BT20,3.33uM,24h,3,NA,NA,0.24923686,NA
CHEMBL2358056,LINCSCP_63177,VCAP,5uM,6h,NA,NA,NA,0.24910955,NA
BRD-K37184875,LINCSCP_28077,HT29,5uM,24h,NA,NA,NA,0.24893092,NA
ICI-89406,LINCSCP_227065,HT29,10uM,6h,NA,NA,NA,0.24886353,NA
CID-2858522,LINCSCP_39778,MDST8,10uM,6h,NA,NA,NA,0.2487255,NA
"3,5-Bis(4-methylbenzylidene)piperidin-4-one",LINCSCP_50208,PHH,10uM,24h,NA,NA,NA,0.2486931,NA
"3,5-Bis(4-methylbenzylidene)piperidin-4-one",LINCSCP_50208,PHH,10uM,24h,NA,NA,NA,0.2486931,NA
MLN-8054,LINCSCP_24396,HS578T,0.5uM,24h,1,NA,NA,0.24848197,NA
Ribavirin,LINCSCP_176150,YAPC,3.33uM,24h,NA,NA,NA,0.24843059,NA
Ribavirin,LINCSCP_176150,YAPC,3.33uM,24h,4,NA,NA,0.24843059,NA
Sunitinib,LINCSCP_128495,HUVEC,3.33uM,24h,NA,NA,NA,0.24839417,NA
Sunitinib,LINCSCP_128495,HUVEC,3.33uM,24h,4,NA,NA,0.24839417,NA
SU 11274,LINCSCP_163331,SKBR3,10uM,3h,NA,NA,NA,0.24819347,NA
Mupirocin,LINCSCP_212150,HA1E,10uM,6h,4,NA,NA,0.24809964,NA
BRD-K89833083,LINCSCP_310698,VCAP,10uM,6h,NA,NA,NA,0.24797291,NA
Rifabutin,LINCSCP_104129,HELA,10uM,24h,NA,NA,NA,0.24767129,NA
Rifabutin,LINCSCP_104129,HELA,10uM,24h,4,NA,NA,0.24767129,NA
LRRK2-IN-1,LINCSCP_113296,HME1,3.33uM,24h,NA,NA,NA,0.24736072,NA
BRD-K72516992,LINCSCP_59915,VCAP,5uM,24h,NA,NA,NA,0.24697629,NA
BRD-K93738295,LINCSCP_181721,A375,5uM,24h,NA,NA,NA,0.2469492,NA
BRD-K00199686,LINCSCP_109392,HELA,0.37uM,24h,NA,NA,NA,0.24685371,NA
BRD-K46709181,LINCSCP_3268,A375,5uM,24h,NA,NA,NA,0.24683336,NA
NU-7441,LINCSCP_39144,MDAMB231,10uM,6h,NA,NA,NA,0.24674166,NA
CGP 57380,LINCSCP_52505,SKB,10uM,24h,NA,NA,NA,0.24669405,NA
BRD-K05684908,LINCSCP_33816,MCF7,10uM,24h,NA,NA,NA,0.24662092,NA
Amodiaquine,LINCSCP_73677,A375,10uM,24h,4,NA,NA,0.24659485,NA
AZD 1480,LINCSCP_166213,SKL,0.37uM,24h,NA,NA,NA,0.24655041,NA
BRD-K15502712,LINCSCP_297551,VCAP,5uM,6h,NA,NA,NA,0.24650811,NA
Perindopril,LINCSCP_14791,HA1E,10uM,24h,4,NA,NA,0.24649331,0.22941017
RU-24969,LINCSCP_241982,MCF7,10uM,24h,NA,NA,NA,0.24638326,NA
CHEMBL1270704,LINCSCP_57419,VCAP,10uM,6h,NA,NA,NA,0.24635661,NA
BRD-K66598898,LINCSCP_59502,VCAP,10uM,24h,NA,NA,NA,0.24630817,NA
Tivantinib,LINCSCP_24713,HS578T,0.1uM,24h,3,NA,NA,0.24627958,NA
Phenothiazine,LINCSCP_291735,VCAP,10uM,6h,NA,NA,NA,0.24625251,NA
FR-180204,LINCSCP_117121,HT29,10uM,24h,NA,NA,NA,0.24624542,NA
MLS002699429,LINCSCP_56874,VCAP,40uM,24h,NA,NA,NA,0.24618382,NA
CHEMBL1374544,LINCSCP_57669,VCAP,10uM,6h,NA,NA,NA,0.24616451,NA
Nimesulide,LINCSCP_33238,MCF7,10uM,6h,4,NA,NA,0.24596231,NA
WH-4-025,LINCSCP_81325,A549,0.37uM,24h,NA,NA,NA,0.2459251,NA
MLS003337120,LINCSCP_292675,VCAP,10uM,6h,NA,NA,NA,0.24590535,NA
CDK9 Inhibitor,LINCSCP_86718,CD34,0.12uM,24h,NA,NA,NA,0.24584838,NA
BRD-K33676730,LINCSCP_49854,PHH,10uM,24h,NA,NA,NA,0.24582831,NA
Dihydrorobustic acid,LINCSCP_56078,VCAP,10uM,24h,NA,NA,NA,0.2457063,0.20508228
VE-821,LINCSCP_100764,HCC515,0.12uM,24h,NA,NA,NA,0.24557676,NA
Metoprolol,LINCSCP_13969,HA1E,10uM,24h,4,NA,NA,0.24534433,NA
BRD-K03194608,LINCSCP_65120,VCAP,10uM,6h,NA,NA,NA,0.24528277,NA
"Tropanyl-3,5-dimethylbenzoate",LINCSCP_258628,NEU,10uM,24h,NA,NA,NA,0.24517943,NA
Morphothebaine,LINCSCP_18401,HCC515,10uM,6h,NA,NA,NA,0.24494188,NA
BRD-K92023938,LINCSCP_304385,VCAP,5uM,6h,NA,NA,NA,0.2449105,NA
MLS003126538,LINCSCP_5331,A549,10uM,6h,NA,NA,NA,0.24474118,NA
BRD-K82083906,LINCSCP_61722,VCAP,5uM,6h,NA,NA,NA,0.24468787,NA
BRD-K14328427,LINCSCP_239875,MCF7,10uM,24h,NA,NA,NA,0.24466147,NA
BRD-K89953543,LINCSCP_307163,VCAP,5uM,6h,NA,NA,NA,0.24450497,NA
MLS002703076,LINCSCP_16305,HA1E,10uM,6h,NA,NA,NA,0.24446902,NA
CHEMBL586058,LINCSCP_50207,PHH,10uM,24h,NA,NA,NA,0.24441836,NA
SCHEMBL12636892,LINCSCP_289177,VCAP,10uM,24h,NA,NA,NA,0.24433196,NA
KW-2449,LINCSCP_113801,HME1,0.12uM,24h,1,NA,NA,0.24432967,NA
92953-43-0,LINCSCP_56665,VCAP,10uM,24h,NA,NA,NA,0.24425762,NA
Rofecoxib,LINCSCP_26822,HT29,10uM,6h,4,NA,NA,0.24424296,NA
AZD-1152-HQPA,LINCSCP_24350,HS578T,0.1uM,24h,NA,NA,NA,0.24421117,NA
3-(4-Pyridyl)indole,LINCSCP_21668,HEPG2,10uM,6h,NA,NA,NA,0.2440308,NA
STK009254,LINCSCP_56392,VCAP,10uM,24h,NA,NA,NA,0.24403044,NA
Mephentermine,LINCSCP_101808,HELA,1.11uM,24h,4,NA,NA,0.24369236,NA
Sertaconazole,LINCSCP_175898,YAPC,10uM,24h,4,NA,NA,0.2436817,NA
BRD-K72343629,LINCSCP_259059,NEU,10uM,24h,NA,NA,NA,0.24352358,NA
AP26113,LINCSCP_105830,HELA,0.04uM,24h,NA,NA,NA,0.24352178,NA
CHEMBL1966597,LINCSCP_16792,HA1E,10uM,6h,NA,NA,NA,0.24345283,NA
BRD-K73674426-001-01-3,LINCSCP_228816,HT29,5uM,24h,NA,NA,NA,0.24337295,NA
RS-23597-190,LINCSCP_623,A375,100uM,24h,NA,NA,NA,0.24334161,NA
AC1M52QF,LINCSCP_53806,SNUC4,10uM,6h,NA,NA,NA,0.24330018,NA
TORIN1,LINCSCP_132868,MCF7,0.04uM,24h,NA,NA,NA,0.2432987,NA
Scopolamine hydrochloride,LINCSCP_179827,A375,10uM,6h,NA,NA,NA,0.24322913,NA
BCPP000194,LINCSCP_117911,HT29,1.11uM,24h,NA,NA,NA,0.24312898,NA
AZD-6482,LINCSCP_2389,A375,10uM,6h,1,NA,NA,0.24311354,NA
Dabrafenib,LINCSCP_87363,CD34,0.12uM,24h,4,NA,NA,0.24310497,NA
sunitinib,LINCSCP_6520,A549,10uM,24h,NA,NA,NA,0.24308262,NA
BRD-K44801029,LINCSCP_62154,VCAP,5uM,24h,NA,NA,NA,0.24296042,NA
L-Cis-Diltiazem,LINCSCP_282169,PHH,10uM,24h,NA,NA,NA,0.24284597,NA
JNK-IN-2,LINCSCP_51883,SKBR3,0.1uM,24h,NA,NA,NA,0.24275502,NA
BRD-K17339982,LINCSCP_60005,VCAP,5uM,24h,NA,NA,NA,0.24271086,NA
Zoxazolamine,LINCSCP_240702,MCF7,10uM,24h,NA,NA,NA,0.24259886,NA
CHEMBL1950303,LINCSCP_100953,HCC515,0.37uM,24h,NA,NA,NA,0.24253637,NA
Lamivudine,LINCSCP_294053,VCAP,10uM,6h,4,NA,NA,0.24245257,NA
CHEMBL3184881,LINCSCP_60024,VCAP,5uM,24h,NA,NA,NA,0.2423856,NA
Maribavir,LINCSCP_105937,HELA,0.12uM,24h,3,NA,NA,0.24234298,NA
Metanephrine,LINCSCP_199,A375,10uM,24h,NA,NA,NA,0.24223443,NA
BRD-K99958302,LINCSCP_64462,VCAP,5uM,6h,NA,NA,NA,0.24223258,NA
Phtpp,LINCSCP_33413,MCF7,10uM,24h,NA,NA,NA,0.24221234,NA
CHEMBL300226,LINCSCP_41257,NEU,10uM,6h,NA,NA,NA,0.24180642,NA
Ethamivan,LINCSCP_33005,MCF7,10uM,6h,4,NA,NA,0.24178471,NA
CHEMBL1719251,LINCSCP_16066,HA1E,10uM,6h,NA,NA,NA,0.24172559,NA
GANT58,LINCSCP_767,A375,10uM,24h,NA,NA,NA,0.24165683,NA
ML-4-054,LINCSCP_179082,A375,10uM,6h,NA,NA,NA,0.24153997,NA
AZ20,LINCSCP_165919,SKL,0.37uM,24h,NA,NA,NA,0.24150576,NA
SPOX1_000836,LINCSCP_10792,ASC,10uM,24h,NA,NA,NA,0.24135884,NA
AZD-5438,LINCSCP_86003,BT20,0.04uM,24h,1,NA,NA,0.24126958,NA
Tazarotene,LINCSCP_174757,YAPC,1.11uM,24h,4,NA,NA,0.24117212,NA
Dasatinib,LINCSCP_116207,HT29,1.11uM,24h,4,NA,NA,0.24107506,NA
9-Epiquinine,LINCSCP_127247,HT29,3.33uM,24h,NA,NA,NA,0.24100599,NA
Benperidol,LINCSCP_241404,MCF7,10uM,6h,NA,NA,NA,0.24097743,NA
3-Aminomethylbutanoic acid,LINCSCP_50154,PHH,10uM,24h,NA,NA,NA,0.24089073,NA
AKT Inhibitor VIII,LINCSCP_635,A375,10uM,24h,NA,NA,NA,0.24079114,NA
PCI-34051,LINCSCP_35423,MCF7,0.1uM,24h,NA,NA,NA,0.24075032,NA
BRD-K82814298,LINCSCP_62053,VCAP,5uM,24h,NA,NA,NA,0.24062747,NA
SUGA1_008424,LINCSCP_42269,NPC,10uM,24h,NA,NA,NA,0.2405737,NA
BRD-K96989541,LINCSCP_61305,VCAP,5uM,24h,NA,NA,NA,0.24038316,NA
BRD-M23876883,LINCSCP_308591,VCAP,5uM,6h,NA,NA,NA,0.24038071,NA
STK064652,LINCSCP_564,A375,10uM,24h,NA,NA,NA,0.24032914,NA
Dihomo-Gamma-Linolenic acid,LINCSCP_483,A375,10uM,6h,NA,NA,NA,0.24018595,NA
BRD-K64609558,LINCSCP_65107,VCAP,10uM,24h,NA,NA,NA,0.24011289,NA
levopropoxyphene,LINCSCP_134947,MCF7,0.12uM,24h,NA,NA,NA,0.23995859,NA
BRD-K22721982,LINCSCP_60360,VCAP,5uM,24h,NA,NA,NA,0.23976553,NA
CHEMBL2358078,LINCSCP_61577,VCAP,5uM,24h,NA,NA,NA,0.23972926,NA
BRD-K21549522,LINCSCP_301828,VCAP,5uM,6h,NA,NA,NA,0.23950238,NA
Troglitazone,LINCSCP_64467,VCAP,5uM,24h,4,NA,NA,0.23941527,NA
Dalcetrapib,LINCSCP_4500,A549,80uM,24h,3,NA,NA,0.23927408,NA
Dexfenfluramine,LINCSCP_106344,HELA,0.12uM,24h,4,NA,NA,0.23923991,NA
BRD-K85642378,LINCSCP_312562,VCAP,3uM,24h,NA,NA,NA,0.23904453,NA
"3,6-Dimethyl-9-[6-(oxiran-2-yl)-6-oxohexyl]decahydropyrrolo[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10-tetrone",LINCSCP_22472,HEPG2,10uM,6h,NA,NA,NA,0.23900594,NA
525-72-4,LINCSCP_259419,NEU,10uM,24h,NA,NA,NA,0.23881355,NA
MLS002264411,LINCSCP_5462,A549,10uM,6h,NA,NA,NA,0.23854528,NA
BRD-K45758869-001-01-3,LINCSCP_16969,HA1E,10uM,6h,NA,NA,NA,0.23847241,NA
MLS003126519,LINCSCP_5306,A549,10uM,6h,NA,NA,NA,0.23832744,NA
SCHEMBL570779,LINCSCP_162910,SKBR3,0.12uM,24h,NA,NA,NA,0.23824108,NA
Zileuton,LINCSCP_30429,MCF7,100uM,24h,4,NA,NA,0.23817547,NA
Broad-Sai-370,LINCSCP_35419,MCF7,0.1uM,24h,NA,NA,NA,0.23792401,NA
T5766237,LINCSCP_178470,A375,10uM,6h,NA,NA,NA,0.23790739,NA
BRD-K98988337,LINCSCP_59944,VCAP,5uM,24h,NA,NA,NA,0.2379065,NA
Dmocp,LINCSCP_259731,NEU,10uM,6h,NA,NA,NA,0.23780897,NA
BRD-K09929560,LINCSCP_61551,VCAP,5uM,24h,NA,NA,NA,0.23773344,NA
BRD-K93896332,LINCSCP_63198,VCAP,5uM,6h,NA,NA,NA,0.23771552,NA
GSK-461364,LINCSCP_176024,YAPC,3.33uM,24h,1,NA,NA,0.23765564,NA
Fluocinolone Acetonide,LINCSCP_228049,HT29,10uM,6h,4,NA,NA,0.23745015,NA
KUC104491N,LINCSCP_45597,PC3,10uM,6h,NA,NA,NA,0.23727149,NA
N-Benzyl-2-chloroquinazolin-4-amine,LINCSCP_16258,HA1E,10uM,6h,NA,NA,NA,0.23719516,NA
MLS000778276,LINCSCP_16809,HA1E,10uM,6h,NA,NA,NA,0.23710268,NA
CHEMBL2357432,LINCSCP_37865,MCF7,10uM,24h,NA,NA,NA,0.23688822,NA
NCGC00170564-01,LINCSCP_46364,PC3,10uM,6h,NA,NA,NA,0.23668019,NA
GSK-3 Inhibitor IX,LINCSCP_113359,HME1,0.12uM,3h,NA,NA,NA,0.23663723,NA
SCHEMBL2592382,LINCSCP_15984,HA1E,10uM,6h,NA,NA,NA,0.2365408,NA
Trimipramine,LINCSCP_167396,YAPC,10uM,24h,4,NA,NA,0.23641402,NA
BRD-K00061590,LINCSCP_60829,VCAP,5uM,24h,NA,NA,NA,0.236358,NA
MLS003129576,LINCSCP_60527,VCAP,5uM,24h,NA,NA,NA,0.23630237,NA
Fluphenazine,LINCSCP_223923,HT29,10uM,6h,4,NA,NA,0.23604413,NA
CHEMBL2144559,LINCSCP_62409,VCAP,5uM,6h,NA,NA,NA,0.23572918,NA
AC1NWAJL,LINCSCP_14835,HA1E,10uM,6h,NA,NA,NA,0.23570804,NA
BRD-K47214596,LINCSCP_61886,VCAP,5uM,6h,NA,NA,NA,0.23566832,NA
Hbdde,LINCSCP_32710,MCF7,10uM,6h,NA,NA,NA,0.23561659,NA
KU-55933,LINCSCP_11933,BT20,1uM,6h,NA,NA,NA,0.23542354,NA
Tetrahydrobiopterin,LINCSCP_34117,MCF7,10uM,24h,NA,NA,NA,0.23539474,NA
BRD-K74428993,LINCSCP_63837,VCAP,5uM,6h,NA,NA,NA,0.23537089,NA
BRD-K99303177,LINCSCP_239990,MCF7,10uM,24h,NA,NA,NA,0.23528579,NA
CHEMBL1208118,LINCSCP_33025,MCF7,10uM,6h,NA,NA,NA,0.23523336,NA
MLS001065868,LINCSCP_25980,HT29,10uM,24h,NA,NA,NA,0.23521968,NA
Quizartinib,LINCSCP_86796,CD34,0.12uM,24h,3,NA,NA,0.23520786,NA
PF-4136309,LINCSCP_111000,HELA,0.04uM,24h,NA,NA,NA,0.23511484,NA
BRD-K28646532,LINCSCP_61211,VCAP,5uM,24h,NA,NA,NA,0.23484594,NA
LM-1685,LINCSCP_58380,VCAP,10uM,24h,NA,NA,NA,0.23482829,NA
ML162,LINCSCP_49574,PC3,0.12uM,24h,NA,NA,NA,0.234797,NA
(Z)-Guggulsterone,LINCSCP_6382,A549,10uM,24h,NA,NA,NA,0.23478567,NA
92394-00-8,LINCSCP_57646,VCAP,10uM,6h,NA,NA,NA,0.2347587,NA
Gemcitabine,LINCSCP_49782,PC3,3uM,6h,4,NA,NA,0.23473764,NA
Rimantadine,LINCSCP_143326,MCF7,0.04uM,24h,NA,NA,NA,0.2347163,NA
Rimantadine,LINCSCP_143326,MCF7,0.04uM,24h,4,NA,NA,0.2347163,NA
CHEMBL34095,LINCSCP_23462,HEPG2,10uM,24h,NA,NA,NA,0.23466341,NA
BRD-K57758244,LINCSCP_60117,VCAP,5uM,6h,NA,NA,NA,0.23455812,NA
"L-755,507",LINCSCP_56523,VCAP,10uM,6h,NA,NA,NA,0.23455523,NA
CHEMBL2204241,LINCSCP_41990,NOMO1,0.1uM,24h,NA,NA,NA,0.23454846,NA
Pomalidomide,LINCSCP_137836,MCF7,0.12uM,24h,4,NA,NA,0.23438044,NA
CHEMBL2136735,LINCSCP_131635,MCF10A,3.33uM,3h,NA,NA,NA,0.23431499,NA
BRD-K21305994,LINCSCP_299362,VCAP,5uM,24h,NA,NA,NA,0.23427969,NA
Guanadrel,LINCSCP_137946,MCF7,10uM,24h,4,NA,NA,0.23423605,NA
BRD-K74507776,LINCSCP_8059,A549,10uM,6h,NA,NA,NA,0.23418401,NA
Infigratinib,LINCSCP_88611,HA1E,0.12uM,24h,2,NA,NA,0.23415984,NA
BRD-K54343811,LINCSCP_250226,MCF7,0.5uM,24h,NA,NA,NA,0.23371958,NA
Sildenafil,LINCSCP_56457,VCAP,10uM,24h,4,NA,NA,0.23353753,NA
